xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,topo_burn_top_msl_m,powerline_kind_in_xy,powerline_line_height_agl_m,powerline_line_base_msl_m,powerline_line_effective_base_msl_m,powerline_line_top_msl_m,powerline_pole_height_agl_m,powerline_pole_base_msl_m,powerline_pole_effective_base_msl_m,powerline_pole_top_msl_m
7941,3725.0,1175.0,17.49677085876465,20.0,line+pole,35.0,49.99677085876465,49.99677085876465,54.99677085876465,35.0,17.49677085876465,20.0,52.49677085876465
8038,3775.0,675.0,14.963306427001953,15.0,line,35.0,47.46330642700195,47.46330642700195,52.46330642700195,0.0,14.963306427001953,15.0,14.963306427001953
8039,3775.0,725.0,14.108901023864746,15.0,line,35.0,46.608901023864746,46.608901023864746,51.608901023864746,0.0,14.108901023864746,15.0,14.108901023864746
8040,3775.0,775.0,19.433164596557617,20.0,line,35.0,51.93316459655762,51.93316459655762,56.93316459655762,0.0,19.433164596557617,20.0,19.433164596557617
8041,3775.0,825.0,23.134841918945312,25.0,line,35.0,55.63484191894531,55.63484191894531,60.63484191894531,0.0,23.134841918945312,25.0,23.134841918945312
8042,3775.0,875.0,25.782733917236328,30.0,line,35.0,58.28273391723633,58.28273391723633,63.28273391723633,0.0,25.782733917236328,30.0,25.782733917236328
8043,3775.0,925.0,21.62582015991211,25.0,line,35.0,54.12582015991211,54.12582015991211,59.12582015991211,0.0,21.62582015991211,25.0,21.62582015991211
8044,3775.0,975.0,18.198745727539062,20.0,line,35.0,50.69874572753906,50.69874572753906,55.69874572753906,0.0,18.198745727539062,20.0,18.198745727539062
8045,3775.0,1025.0,15.695265769958496,20.0,line,35.0,48.195265769958496,48.195265769958496,53.195265769958496,0.0,15.695265769958496,20.0,15.695265769958496
8046,3775.0,1075.0,15.805325508117676,20.0,line,35.0,48.305325508117676,48.305325508117676,53.305325508117676,0.0,15.805325508117676,20.0,15.805325508117676
8047,3775.0,1125.0,16.111251831054688,20.0,line,35.0,48.61125183105469,48.61125183105469,53.61125183105469,0.0,16.111251831054688,20.0,16.111251831054688
8048,3775.0,1175.0,16.047502517700195,20.0,line,35.0,48.547502517700195,48.547502517700195,53.547502517700195,0.0,16.047502517700195,20.0,16.047502517700195
8139,3825.0,375.0,19.93683624267578,20.0,line,35.0,52.43683624267578,52.43683624267578,57.43683624267578,0.0,19.93683624267578,20.0,19.93683624267578
8140,3825.0,425.0,18.686542510986328,20.0,line,35.0,51.18654251098633,51.18654251098633,56.18654251098633,0.0,18.686542510986328,20.0,18.686542510986328
8141,3825.0,475.0,18.676408767700195,20.0,line,35.0,51.176408767700195,51.176408767700195,56.176408767700195,0.0,18.676408767700195,20.0,18.676408767700195
8142,3825.0,525.0,19.240800857543945,20.0,line,35.0,51.740800857543945,51.740800857543945,56.740800857543945,0.0,19.240800857543945,20.0,19.240800857543945
8143,3825.0,575.0,13.388739585876465,15.0,line,35.0,45.888739585876465,45.888739585876465,50.888739585876465,0.0,13.388739585876465,15.0,13.388739585876465
8144,3825.0,625.0,12.103287696838379,15.0,line,35.0,44.60328769683838,44.60328769683838,49.60328769683838,0.0,12.103287696838379,15.0,12.103287696838379
8145,3825.0,675.0,14.274253845214844,15.0,line,35.0,46.774253845214844,46.774253845214844,51.774253845214844,0.0,14.274253845214844,15.0,14.274253845214844
8146,3825.0,725.0,15.407282829284668,20.0,line,35.0,47.90728282928467,47.90728282928467,52.90728282928467,0.0,15.407282829284668,20.0,15.407282829284668
8147,3825.0,775.0,18.120437622070312,20.0,line,35.0,50.62043762207031,50.62043762207031,55.62043762207031,0.0,18.120437622070312,20.0,18.120437622070312
8148,3825.0,825.0,18.98409652709961,20.0,line,35.0,51.48409652709961,51.48409652709961,56.48409652709961,0.0,18.98409652709961,20.0,18.98409652709961
