xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,powerline_z_top_msl_m,powerline_z_top_agl_m,powerline_z_bottom_msl_m,powerline_voxel_count,powerline_plot_kind,powerline_kind_in_xy,powerline_plot_height_agl_m,powerline_line_height_agl_m,powerline_pole_height_agl_m,powerline_line_top_msl_m,powerline_pole_top_msl_m,building_z_top_msl_m,building_z_top_agl_m,building_z_bottom_msl_m,building_voxel_count,building_height_agl_m,powerline_minus_building_top_msl_m,powerline_minus_building_top_agl_m
11294,5275.0,2975.0,12.99064826965332,50.49064826965332,37.5,45.49064826965332,2,line-air strand/cable,line,35.0,35.0,0.0,50.49064826965332,12.99064826965332,16.888654232025146,3.898005962371826,12.99064826965332,2,3.898005962371826,33.601994037628174,33.601994037628174
4950,2325.0,1425.0,22.509632110595703,60.0096321105957,37.5,55.0096321105957,2,line-air strand/cable,line,35.0,35.0,0.0,60.0096321105957,22.509632110595703,26.257688760757446,3.748056650161743,22.509632110595703,2,3.748056650161743,33.75194334983826,33.75194334983826
11295,5275.0,3025.0,12.464532852172852,49.96453285217285,37.5,44.96453285217285,2,line-air strand/cable,line,35.0,35.0,0.0,49.96453285217285,12.464532852172852,16.190776586532593,3.726243734359741,12.464532852172852,2,3.726243734359741,33.77375626564026,33.77375626564026
8247,3875.0,425.0,17.281850814819336,54.781850814819336,37.5,49.781850814819336,2,line-air strand/cable,line,35.0,35.0,0.0,54.781850814819336,17.281850814819336,20.96996784210205,3.688117027282715,17.281850814819336,2,3.688117027282715,33.811882972717285,33.811882972717285
4101,1925.0,1775.0,19.256053924560547,56.75605392456055,37.5,51.75605392456055,2,line-air strand/cable,line,35.0,35.0,0.0,56.75605392456055,19.256053924560547,22.855931282043457,3.59987735748291,19.256053924560547,2,3.59987735748291,33.90012264251709,33.90012264251709
11319,5275.0,4225.0,13.072273254394531,50.57227325439453,37.5,15.0,9,pole/tower column,line+pole,35.0,35.0,35.0,50.57227325439453,48.07227325439453,16.58638072013855,3.5141074657440186,13.072273254394531,2,3.5141074657440186,33.98589253425598,33.98589253425598
4209,1975.0,1825.0,20.291669845581055,57.791669845581055,37.5,52.791669845581055,2,line-air strand/cable,line,35.0,35.0,0.0,57.791669845581055,20.291669845581055,23.79909896850586,3.5074291229248047,20.291669845581055,1,3.5074291229248047,33.992570877075195,33.992570877075195
9225,4325.0,1175.0,19.18626594543457,56.68626594543457,37.5,20.0,9,pole/tower column,line+pole,35.0,35.0,35.0,56.68626594543457,54.18626594543457,22.60202980041504,3.4157638549804688,19.18626594543457,2,3.4157638549804688,34.08423614501953,34.08423614501953
7938,3725.0,1025.0,15.9585599899292,53.4585599899292,37.5,48.4585599899292,2,line-air strand/cable,line,35.0,35.0,0.0,53.4585599899292,15.9585599899292,19.343326091766357,3.384766101837158,15.9585599899292,1,3.384766101837158,34.11523389816284,34.11523389816284
11326,5275.0,4575.0,12.613956451416016,50.113956451416016,37.5,45.113956451416016,2,line-air strand/cable,line,35.0,35.0,0.0,50.113956451416016,12.613956451416016,15.986546516418457,3.3725900650024414,12.613956451416016,2,3.3725900650024414,34.12740993499756,34.12740993499756
11433,5325.0,4575.0,8.13230037689209,45.63230037689209,37.5,10.0,9,pole/tower column,line+pole,35.0,35.0,35.0,45.63230037689209,43.13230037689209,11.422513484954834,3.290213108062744,8.13230037689209,2,3.290213108062744,34.209786891937256,34.209786891937256
10055,4675.0,5225.0,14.375350952148438,51.87535095214844,37.5,15.0,9,pole/tower column,line+pole,35.0,35.0,35.0,51.87535095214844,49.37535095214844,17.573851108551025,3.198500156402588,14.375350952148438,2,3.198500156402588,34.30149984359741,34.30149984359741
11372,5325.0,1525.0,16.819612503051758,54.31961250305176,37.5,20.0,9,pole/tower column,line+pole,35.0,35.0,35.0,54.31961250305176,51.81961250305176,20.01658058166504,3.1969680786132812,16.819612503051758,2,3.1969680786132812,34.30303192138672,34.30303192138672
10264,4775.0,4975.0,11.720410346984863,49.22041034698486,37.5,44.22041034698486,2,line-air strand/cable,line,35.0,35.0,0.0,49.22041034698486,11.720410346984863,14.894300699234009,3.1738903522491455,11.720410346984863,1,3.1738903522491455,34.326109647750854,34.326109647750854
4102,1925.0,1825.0,21.724422454833984,59.224422454833984,37.5,54.224422454833984,2,line-air strand/cable,line,35.0,35.0,0.0,59.224422454833984,21.724422454833984,24.796096563339233,3.071674108505249,21.724422454833984,1,3.071674108505249,34.42832589149475,34.42832589149475
9441,4425.0,1275.0,22.555034637451172,60.05503463745117,37.5,55.05503463745117,2,line-air strand/cable,line,35.0,35.0,0.0,60.05503463745117,22.555034637451172,25.507500171661377,2.952465534210205,22.555034637451172,2,2.952465534210205,34.547534465789795,34.547534465789795
9548,4475.0,1275.0,21.218097686767578,58.71809768676758,37.5,53.71809768676758,2,line-air strand/cable,line,35.0,35.0,0.0,58.71809768676758,21.218097686767578,24.170563220977783,2.952465534210205,21.218097686767578,1,2.952465534210205,34.547534465789795,34.547534465789795
4631,2175.0,1525.0,24.75982093811035,62.25982093811035,37.5,57.25982093811035,2,line-air strand/cable,line,35.0,35.0,0.0,62.25982093811035,24.75982093811035,27.642438411712646,2.882617473602295,24.75982093811035,2,2.882617473602295,34.617382526397705,34.617382526397705
4314,2025.0,1725.0,19.222021102905273,56.72202110290527,37.5,51.72202110290527,2,line-air strand/cable,line,35.0,35.0,0.0,56.72202110290527,19.222021102905273,21.868841409683228,2.646820306777954,19.222021102905273,2,2.646820306777954,34.853179693222046,34.853179693222046
8044,3775.0,975.0,18.198745727539062,55.69874572753906,37.5,50.69874572753906,2,line-air strand/cable,line,35.0,35.0,0.0,55.69874572753906,18.198745727539062,20.808223247528076,2.6094775199890137,18.198745727539062,2,2.6094775199890137,34.890522480010986,34.890522480010986
