edge_id,u,v,u_name,v_name,u_role,v_role,x1,y1,x2,y2,distance_m,nofly_clearance_m,route_hit_density,nearest_flz_distance_m,emergency_support,is_tn_edge,is_flz_edge,u_is_outer_zone,v_is_outer_zone,is_outer_zone_edge,edge_cost,aco_initial_desirability,edge_cost_distance_component,edge_cost_density_component,edge_cost_clearance_risk_component,edge_cost_outer_zone_component
215,3709,6219,TN011,TN026,TN_major,TN_minor,3650.0,1800.0,2900.0,3050.0,1457.7379737113251,283.33333333333337,73.38709677419355,150.0,0.9825754689579004,1,0,False,False,0,0.8462845324830093,1.1816356811650424,0.635001116605377,0.47576300326473053,0.5277777777777777,0.0
216,3709,4710,TN011,TN027,TN_major,TN_minor,3650.0,1800.0,3200.0,2300.0,672.6812023536855,335.4101966249685,75.46666666666667,150.0,0.9825754689579004,1,0,False,False,0,0.6672548230337851,1.4986778146515802,0.2930247563809617,0.48924469774552154,0.44098300562505255,0.0
217,3709,8337,TN011,TN028,TN_major,TN_minor,3650.0,1800.0,2750.0,4100.0,2469.817807045694,334.5743564590687,60.3921568627451,150.0,0.9825754689579004,1,0,False,False,0,0.913222742619906,1.095023101517536,1.0758703508923173,0.3915177897152895,0.44237607256821876,0.0
218,3709,4314,TN011,TN030,TN_major,TN_minor,3650.0,1800.0,3600.0,2100.0,304.138126514911,320.7930224697945,75.125,150.0,0.9825754689579004,1,0,False,False,0,0.6525892777715943,1.5323573862793363,0.13248474926364295,0.4870296985618238,0.4653449625503425,0.0
219,1081,4314,TN012,TN030,TN_major,TN_minor,3550.0,500.0,3600.0,2100.0,1600.7810593582121,86.19068274744146,31.294117647058822,65.08100483307419,0.996696455321467,1,0,False,False,0,1.319815573692843,0.7576816185021978,0.6973117106534944,0.20287740012519548,0.8563488620875976,0.0
220,1081,888,TN012,TN031,TN_major,TN_minor,3550.0,500.0,4000.0,400.0,460.9772228646444,180.27756377319946,18.0,291.547594742265,0.9357506383666208,1,0,False,False,0,1.112442712362988,0.8989226940737077,0.20080498452231596,0.11669263992163499,0.6995373937113343,0.0
221,9510,8825,TN013,TN014,TN_minor,TN_minor,800.0,4700.0,1900.0,4350.0,1154.3396380615195,314.55573830404046,152.08,570.087712549569,0.7757645265618263,1,0,True,False,1,0.6095319665068495,1.6406030445472342,0.5028386255485366,0.985923148849014,0.47574043615993256,1.0
222,9510,8491,TN013,TN017,TN_minor,TN_minor,800.0,4700.0,350.0,4200.0,672.6812023536855,111.57499537009511,173.66666666666666,1700.735135169495,0.10437494476592496,1,0,True,True,1,1.1611021638794352,0.8612506557207971,0.2930247563809617,1.1258678777624413,0.8140416743831749,1.0
223,9510,8325,TN013,TN018,TN_minor,TN_minor,800.0,4700.0,2150.0,4100.0,1477.3286702694156,203.5313243704762,143.96774193548387,223.60679774997897,0.9616906016054253,1,0,True,False,1,0.7630792816564262,1.310479820431354,0.6435349645353946,0.9333319927782383,0.6607811260492064,1.0
224,9510,8337,TN013,TN028,TN_minor,TN_minor,800.0,4700.0,2750.0,4100.0,2040.2205763103166,323.5570631453495,120.66666666666667,213.26126893573226,0.9650922965273735,1,0,True,False,1,0.6981650292754271,1.4323261092550348,0.8887347160065626,0.7822728824376273,0.4607382280910841,1.0
225,8825,6805,TN014,TN015,TN_minor,TN_minor,1900.0,4350.0,1900.0,3350.0,1000.0,100.0,146.52380952380952,450.0,0.8536763613451477,1,0,False,False,0,0.9293712644791385,1.075996254909436,0.4356071722469416,0.9499027858171187,0.8333333333333334,0.0
226,8825,6912,TN014,TN016,TN_minor,TN_minor,1900.0,4350.0,2200.0,3400.0,996.2429422585637,215.82689823096644,139.23809523809524,324.39366516626063,0.9210767488974952,1,0,False,False,0,0.72583345759653,1.377726514993294,0.4339705709482261,0.9026700506107427,0.6402885029483893,0.0
227,8825,8325,TN014,TN018,TN_minor,TN_minor,1900.0,4350.0,2150.0,4100.0,353.5533905932738,318.6887195995491,137.33333333333334,223.60679774997897,0.9616906016054253,1,0,False,False,0,0.4702743314890016,2.126418418019456,0.15401039271465444,0.8903216231058078,0.46885213400075154,0.0
228,8825,9357,TN014,TN020,TN_minor,TN_minor,1900.0,4350.0,3250.0,4600.0,1372.953021774598,167.6860830509782,82.03448275862068,426.3035231821936,0.8676384098818501,1,0,False,False,0,1.0592350708970597,0.9440775022234735,0.5980681834431264,0.5318233532060721,0.7205231949150364,0.0
229,8825,4888,TN014,TN024,TN_minor,TN_minor,1900.0,4350.0,2000.0,2400.0,1952.5624189766636,120.41594578792295,125.65853658536585,431.8564576337837,0.8644142880877127,1,0,False,False,0,1.061345474165335,0.9422002772343488,0.8505501939660726,0.8146347979353163,0.7993067570201284,0.0
230,8825,6219,TN014,TN026,TN_minor,TN_minor,1900.0,4350.0,2900.0,3050.0,1640.1219466856726,301.8195509278916,90.97058823529412,143.37208778404386,0.984069230920985,1,0,False,False,0,0.777593007258851,1.2860197952720431,0.7144488833358951,0.5897554498000278,0.4969674151201806,0.0
231,8825,4710,TN014,TN027,TN_minor,TN_minor,1900.0,4350.0,3200.0,2300.0,2427.4472187876713,140.9235025442742,92.0,192.77073974229444,0.9713856846363804,1,0,False,False,0,1.1344991955510777,0.8814461957500592,1.0574134187548005,0.5964290484883567,0.765127495759543,0.0
232,8825,8337,TN014,TN028,TN_minor,TN_minor,1900.0,4350.0,2750.0,4100.0,886.0022573334675,335.4101966249685,87.73684210526316,209.09121407287603,0.9664211421214507,1,0,False,False,0,0.6587897217195893,1.5179350360685275,0.38594893792143886,0.568791317980601,0.44098300562505255,0.0
233,6805,6912,TN015,TN016,TN_minor,TN_minor,1900.0,3350.0,2200.0,3400.0,304.138126514911,492.44289008980525,161.875,618.4658438426491,0.7416868759123438,1,0,False,False,0,0.2057536140054143,4.860181945449014,0.13248474926364295,1.0494233937397035,0.17926184985032456,0.0
234,6805,8325,TN015,TN018,TN_minor,TN_minor,1900.0,3350.0,2150.0,4100.0,790.5694150420949,268.8226645950821,152.64705882352942,222.07297505549838,0.9622043369665212,1,0,False,False,0,0.5510805215171362,1.814616849906034,0.3443777073514057,0.9895993483550419,0.5519622256748632,0.0
235,6805,9357,TN015,TN020,TN_minor,TN_minor,1900.0,3350.0,3250.0,4600.0,1839.8369492974098,424.26406871192853,109.55263157894737,172.85680220536065,0.9769270089299722,1,0,False,False,0,0.5386062523636779,1.8566438759511088,0.8014461708788845,0.7102214327394247,0.2928932188134524,0.0
236,6805,4888,TN015,TN024,TN_minor,TN_minor,1900.0,3350.0,2000.0,2400.0,955.24865872714,282.842712474619,97.57142857142857,790.5694150420949,0.6136802511983585,1,0,False,False,0,0.8984352575600496,1.113046256349932,0.41611316702081325,0.6325481989402912,0.5285954792089683,0.0
237,6805,6219,TN015,TN026,TN_minor,TN_minor,1900.0,3350.0,2900.0,3050.0,1044.030650891055,311.84114218490134,96.36363636363636,700.0,0.6819407511903481,1,0,False,False,0,0.8295578223297178,1.205461479697238,0.4547872395737864,0.6247181733178439,0.4802647630251644,0.0
238,6805,8337,TN015,TN028,TN_minor,TN_minor,1900.0,3350.0,2750.0,4100.0,1133.5784048754633,469.75137211806566,114.70833333333333,190.83440302047615,0.9719495469245181,1,0,False,False,0,0.3716579767154579,2.690645869725546,0.4937948834679993,0.7436454576487526,0.21708104646989057,0.0
239,6912,8325,TN016,TN018,TN_minor,TN_minor,2200.0,3400.0,2150.0,4100.0,701.78344238091,360.1388621073821,144.625,193.44824171395848,0.9711871293211815,1,0,False,False,0,0.41072971180122514,2.4346911637207183,0.3057019008652727,0.9375929471481367,0.39976856315436315,0.0
240,6912,2962,TN016,TN019,TN_minor,TN_minor,2200.0,3400.0,1650.0,1450.0,2026.0799589354808,182.81297269700983,98.9047619047619,618.4658438426491,0.7416868759123438,1,0,False,False,0,1.1134416771983295,0.8981161927728677,0.8825749616580845,0.6411920981937457,0.6953117121716503,0.0
