node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,model_index,x_original,y_original,x_m,y_m,candidate_eligible,route_hit_count,route_hit_fraction,is_objective,objective_label,objective_prefix,candidate_id,candidate_type,candidate_route_hit_count,original_model_index,shifted_from_model_index,candidate_shifted,candidate_shift_distance_m,original_nofly_clearance_m,nofly_clearance_m,shift_reason,is_candidate
85,4250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,85,4250.0,0.0,4250.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
86,4300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,86,4300.0,0.0,4300.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
87,4350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,87,4350.0,0.0,4350.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
88,4400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,88,4400.0,0.0,4400.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
89,4450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,89,4450.0,0.0,4450.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
90,4500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,90,4500.0,0.0,4500.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
91,4550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,91,4550.0,0.0,4550.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
92,4600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,92,4600.0,0.0,4600.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
93,4650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,93,4650.0,0.0,4650.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
94,4700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,94,4700.0,0.0,4700.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
95,4750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,95,4750.0,0.0,4750.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
96,4800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,96,4800.0,0.0,4800.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
97,4850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,97,4850.0,0.0,4850.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
98,4900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,98,4900.0,0.0,4900.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
99,4950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,99,4950.0,0.0,4950.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
100,5000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,100,5000.0,0.0,5000.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
101,0.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,101,0.0,50.0,0.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
102,50.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,102,50.0,50.0,50.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
103,100.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,103,100.0,50.0,100.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
104,150.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,104,150.0,50.0,150.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
105,200.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,105,200.0,50.0,200.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
106,250.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,106,250.0,50.0,250.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
107,300.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,107,300.0,50.0,300.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
108,350.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,108,350.0,50.0,350.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
109,400.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,109,400.0,50.0,400.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
110,450.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,110,450.0,50.0,450.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
111,500.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,111,500.0,50.0,500.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
112,550.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,112,550.0,50.0,550.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
113,600.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,113,600.0,50.0,600.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
114,650.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,114,650.0,50.0,650.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
115,700.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,115,700.0,50.0,700.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
116,750.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,116,750.0,50.0,750.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
117,800.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,117,800.0,50.0,800.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
118,850.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,118,850.0,50.0,850.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
119,900.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,119,900.0,50.0,900.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
120,950.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,120,950.0,50.0,950.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
121,1000.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,121,1000.0,50.0,1000.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
122,1050.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,122,1050.0,50.0,1050.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
123,1100.0,50.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,123,1100.0,50.0,1100.0,50.0,True,0,0.0,False,,,,,,,,False,,,,,False
