route_file,route_name,route_key,source_kind,status,reason,n_raw_points,n_dense_points,hit_nodes
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00026,edge_table,processed,"edge-table route_key=forward_backup_01__part_00026; edges=63; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3709.2 m",64,91,882
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00027,edge_table,processed,"edge-table route_key=forward_backup_01__part_00027; edges=19; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1032.8 m",20,24,330
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00000,edge_table,processed,"edge-table route_key=forward_main_02__part_00000; edges=70; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3934.9 m",71,92,955
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00001,edge_table,processed,"edge-table route_key=forward_main_02__part_00001; edges=47; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=2722.8 m",48,66,671
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00002,edge_table,processed,"edge-table route_key=forward_main_02__part_00002; edges=76; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4421.3 m",77,107,835
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00003,edge_table,processed,"edge-table route_key=forward_main_02__part_00003; edges=72; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4366.3 m",73,110,1067
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00004,edge_table,processed,"edge-table route_key=forward_main_02__part_00004; edges=33; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=2105.6 m",34,56,540
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00005,edge_table,processed,"edge-table route_key=forward_main_02__part_00005; edges=68; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3979.9 m",69,97,892
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00006,edge_table,processed,"edge-table route_key=forward_main_02__part_00006; edges=63; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3564.2 m",64,84,907
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_02__part_00007,edge_table,processed,"edge-table route_key=forward_main_02__part_00007; edges=51; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3564.8 m",52,101,866
