route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB02_to_DK01_backward_main_04,DB02_to_DK01,backward_main_04,backward,main,4,3257.7164466275353,50,2,0;2,0:0.160;2:0.180
DB02_to_DK01_forward_backup_01,DB02_to_DK01,forward_backup_01,forward,backup,1,3169.8484809835,47,2,2;0,2:0.170;0:0.149
DB02_to_DK01_forward_backup_02,DB02_to_DK01,forward_backup_02,forward,backup,2,3452.6911934581185,51,2,2;0,2:0.176;0:0.039
DB02_to_DK01_forward_backup_03,DB02_to_DK01,forward_backup_03,forward,backup,3,4994.112549695428,81,2,2;0,2:0.049;0:0.111
DB02_to_DK01_forward_backup_04,DB02_to_DK01,forward_backup_04,forward,backup,4,6904.163056034262,125,2,2;0,2:0.008;0:0.096
DB02_to_DK01_forward_main_01,DB02_to_DK01,forward_main_01,forward,main,1,3140.559159102155,46,2,2;0,2:0.065;0:0.326
DB02_to_DK01_forward_main_02,DB02_to_DK01,forward_main_02,forward,main,2,3564.823227814083,52,2,2;0,2:0.058;0:0.058
DB02_to_DK01_forward_main_03,DB02_to_DK01,forward_main_03,forward,main,3,4752.691193458119,77,2,2;0,2:0.052;0:0.078
DB02_to_DK01_forward_main_04,DB02_to_DK01,forward_main_04,forward,main,4,6933.452377915607,126,2,2;0,2:0.008;0:0.103
DB02_to_DK02_backward_backup_01,DB02_to_DK02,backward_backup_01,backward,backup,1,5544.112549695428,92,2,0;2,0:0.576;2:0.130
DB02_to_DK02_backward_backup_02,DB02_to_DK02,backward_backup_02,backward,backup,2,5629.036790187179,85,2,0;2,0:0.624;2:0.118
DB02_to_DK02_backward_backup_03,DB02_to_DK02,backward_backup_03,backward,backup,3,6421.93000900063,105,2,0;2,0:0.143;2:0.038
DB02_to_DK02_backward_backup_04,DB02_to_DK02,backward_backup_04,backward,backup,4,6563.35136523794,107,2,0;2,0:0.075;2:0.084
DB02_to_DK02_backward_main_01,DB02_to_DK02,backward_main_01,backward,main,1,5544.112549695428,92,2,0;2,0:0.576;2:0.130
DB02_to_DK02_backward_main_02,DB02_to_DK02,backward_main_02,backward,main,2,5629.036790187179,85,2,0;2,0:0.624;2:0.118
DB02_to_DK02_backward_main_03,DB02_to_DK02,backward_main_03,backward,main,3,6280.508652763322,103,2,0;2,0:0.379;2:0.019
DB02_to_DK02_backward_main_04,DB02_to_DK02,backward_main_04,backward,main,4,6563.35136523794,107,2,0;2,0:0.075;2:0.084
DB02_to_DK02_forward_backup_01,DB02_to_DK02,forward_backup_01,forward,backup,1,5544.112549695428,92,2,2;0,2:0.130;0:0.576
DB02_to_DK02_forward_backup_02,DB02_to_DK02,forward_backup_02,forward,backup,2,5829.036790187179,89,2,2;0,2:0.112;0:0.584
DB02_to_DK02_forward_backup_03,DB02_to_DK02,forward_backup_03,forward,backup,3,7216.904755831214,118,2,2;0,2:0.025;0:0.297
DB02_to_DK02_forward_main_01,DB02_to_DK02,forward_main_01,forward,main,1,5331.980515339465,89,2,2;0,2:0.079;0:0.404
DB02_to_DK02_forward_main_02,DB02_to_DK02,forward_main_02,forward,main,2,5729.036790187179,87,2,2;0,2:0.069;0:0.322
DB02_to_DK02_forward_main_03,DB02_to_DK02,forward_main_03,forward,main,3,6863.35136523794,113,2,2;0,2:0.018;0:0.133
DB02_to_DK02_forward_main_04,DB02_to_DK02,forward_main_04,forward,main,4,5331.980515339465,89,2,2;0,2:0.079;0:0.404
DB02_to_DK03_backward_backup_01,DB02_to_DK03,backward_backup_01,backward,backup,1,3726.3455967290593,66,3,1;0;2,1:0.061;0:0.015;2:0.152
DB02_to_DK03_backward_backup_02,DB02_to_DK03,backward_backup_02,backward,backup,2,3797.056274847714,67,3,1;0;2,1:0.030;0:0.030;2:0.119
DB02_to_DK03_backward_backup_03,DB02_to_DK03,backward_backup_03,backward,backup,3,4669.8484809835,77,2,1;2,1:0.013;2:0.026
DB02_to_DK03_backward_backup_04,DB02_to_DK03,backward_backup_04,backward,backup,4,3755.634918610405,67,2,1;2,1:0.030;2:0.134
DB02_to_DK03_backward_main_01,DB02_to_DK03,backward_main_01,backward,main,1,3726.3455967290593,66,2,1;2,1:0.030;2:0.030
DB02_to_DK03_backward_main_02,DB02_to_DK03,backward_main_02,backward,main,2,3867.766952966369,68,3,1;0;2,1:0.044;0:0.015;2:0.147
DB02_to_DK03_backward_main_03,DB02_to_DK03,backward_main_03,backward,main,3,4557.716446627535,76,2,1;2,1:0.013;2:0.013
DB02_to_DK03_backward_main_04,DB02_to_DK03,backward_main_04,backward,main,4,3726.3455967290593,66,2,1;2,1:0.030;2:0.061
DB02_to_DK03_forward_backup_01,DB02_to_DK03,forward_backup_01,forward,backup,1,3726.3455967290593,66,3,2;0;1,2:0.152;0:0.015;1:0.076
DB02_to_DK03_forward_backup_02,DB02_to_DK03,forward_backup_02,forward,backup,2,3867.766952966369,68,2,2;1,2:0.132;1:0.029
DB02_to_DK03_forward_backup_03,DB02_to_DK03,forward_backup_03,forward,backup,3,5579.898987322333,101,3,2;0;1,2:0.040;0:0.030;1:0.030
DB02_to_DK03_forward_backup_04,DB02_to_DK03,forward_backup_04,forward,backup,4,8428.427124746191,153,3,2;0;1,2:0.007;0:0.026;1:0.020
DB02_to_DK03_forward_main_01,DB02_to_DK03,forward_main_01,forward,main,1,3726.3455967290593,66,3,2;0;1,2:0.045;0:0.061;1:0.061
DB02_to_DK03_forward_main_02,DB02_to_DK03,forward_main_02,forward,main,2,4038.477631085024,71,2,2;1,2:0.042;1:0.014
DB02_to_DK03_forward_main_03,DB02_to_DK03,forward_main_03,forward,main,3,5609.188309203679,102,3,2;0;1,2:0.039;0:0.010;1:0.039
DB02_to_DK03_forward_main_04,DB02_to_DK03,forward_main_04,forward,main,4,8374.873734152916,154,3,2;0;1,2:0.006;0:0.006;1:0.006
DB02_to_DK04_backward_backup_01,DB02_to_DK04,backward_backup_01,backward,backup,1,4509.188309203678,80,2,0;2,0:0.125;2:0.013
DB02_to_DK04_backward_backup_02,DB02_to_DK04,backward_backup_02,backward,backup,2,5947.665940288703,98,2,0;2,0:0.571;2:0.102
DB02_to_DK04_backward_backup_03,DB02_to_DK04,backward_backup_03,backward,backup,3,7447.665940288703,128,2,0;2,0:0.227;2:0.047
DB02_to_DK04_backward_main_01,DB02_to_DK04,backward_main_01,backward,main,1,4592.031021678297,80,2,0;2,0:0.188;2:0.150
DB02_to_DK04_backward_main_02,DB02_to_DK04,backward_main_02,backward,main,2,5947.665940288703,98,2,0;2,0:0.571;2:0.102
DB02_to_DK04_backward_main_03,DB02_to_DK04,backward_main_03,backward,main,3,7447.665940288703,128,2,0;2,0:0.227;2:0.047
DB02_to_DK04_backward_main_04,DB02_to_DK04,backward_main_04,backward,main,4,4633.452377915607,80,2,0;2,0:0.163;2:0.087
DB02_to_DK04_forward_backup_01,DB02_to_DK04,forward_backup_01,forward,backup,1,4592.031021678298,80,2,2;0,2:0.150;0:0.188
DB02_to_DK04_forward_backup_02,DB02_to_DK04,forward_backup_02,forward,backup,2,6230.508652763321,102,2,2;0,2:0.098;0:0.441
DB02_to_DK04_forward_backup_03,DB02_to_DK04,forward_backup_03,forward,backup,3,4509.188309203679,80,2,2;0,2:0.013;0:0.125
DB02_to_DK04_forward_backup_04,DB02_to_DK04,forward_backup_04,forward,backup,4,7589.087296526011,130,2,2;0,2:0.023;0:0.223
DB02_to_DK04_forward_main_01,DB02_to_DK04,forward_main_01,forward,main,1,4633.452377915607,80,2,2;0,2:0.087;0:0.163
DB02_to_DK04_forward_main_02,DB02_to_DK04,forward_main_02,forward,main,2,6130.508652763322,100,2,2;0,2:0.060;0:0.110
DB02_to_DK04_forward_main_03,DB02_to_DK04,forward_main_03,forward,main,3,4550.6096654409885,80,2,2;0,2:0.025;0:0.263
DB02_to_DK04_forward_main_04,DB02_to_DK04,forward_main_04,forward,main,4,7406.244584051393,128,2,2;0,2:0.016;0:0.125
DB02_to_DK05_backward_backup_01,DB02_to_DK05,backward_backup_01,backward,backup,1,7004.772721475249,115,2,0;2,0:0.043;2:0.026
DB02_to_DK05_backward_backup_02,DB02_to_DK05,backward_backup_02,backward,backup,2,4934.062043356595,74,2,0;2,0:0.189;2:0.027
DB02_to_DK05_backward_backup_03,DB02_to_DK05,backward_backup_03,backward,backup,3,5234.062043356595,80,2,0;2,0:0.263;2:0.138
DB02_to_DK05_backward_backup_04,DB02_to_DK05,backward_backup_04,backward,backup,4,6156.244584051393,103,2,0;2,0:0.621;2:0.126
DB02_to_DK05_backward_main_01,DB02_to_DK05,backward_main_01,backward,main,1,6934.062043356595,114,2,0;2,0:0.026;2:0.018
DB02_to_DK05_backward_main_02,DB02_to_DK05,backward_main_02,backward,main,2,4904.772721475249,73,2,0;2,0:0.589;2:0.137
DB02_to_DK05_backward_main_03,DB02_to_DK05,backward_main_03,backward,main,3,5121.930009000631,79,2,0;2,0:0.304;2:0.114
DB02_to_DK05_backward_main_04,DB02_to_DK05,backward_main_04,backward,main,4,6156.244584051393,103,2,0;2,0:0.621;2:0.126
DB02_to_DK05_forward_backup_01,DB02_to_DK05,forward_backup_01,forward,backup,1,4904.772721475249,73,2,2;0,2:0.137;0:0.589
DB02_to_DK05_forward_backup_02,DB02_to_DK05,forward_backup_02,forward,backup,2,5768.3766184073575,94,2,2;0,2:0.096;0:0.096
DB02_to_DK05_forward_backup_03,DB02_to_DK05,forward_backup_03,forward,backup,3,7316.904755831214,120,2,2;0,2:0.033;0:0.533
DB02_to_DK05_forward_backup_04,DB02_to_DK05,forward_backup_04,forward,backup,4,5121.930009000631,79,2,2;0,2:0.114;0:0.304
DB02_to_DK05_forward_main_01,DB02_to_DK05,forward_main_01,forward,main,1,4875.483399593904,72,2,2;0,2:0.042;0:0.292
DB02_to_DK05_forward_main_02,DB02_to_DK05,forward_main_02,forward,main,2,6009.797974644666,98,2,2;0,2:0.031;0:0.061
DB02_to_DK05_forward_main_03,DB02_to_DK05,forward_main_03,forward,main,3,6863.351365237941,113,2,2;0,2:0.035;0:0.407
DB02_to_DK05_forward_main_04,DB02_to_DK05,forward_main_04,forward,main,4,5051.219330881976,78,2,2;0,2:0.051;0:0.231
DB02_to_DK06_backward_backup_01,DB02_to_DK06,backward_backup_01,backward,backup,1,4252.691193458119,67,2,0;2,0:0.075;2:0.060
DB02_to_DK06_backward_backup_02,DB02_to_DK06,backward_backup_02,backward,backup,2,4176.955262170048,63,2,0;2,0:0.063;2:0.127
